id,type,brand,series,models,price,year,title,url,images
5644,desktop,Acer,,,70,2016,Acer Predator G3-710 Intel Core i7 6th Gen,predator-g3_710-intel-core-i7-6th-gen,acer-predator-g3_710-intel-core-i7-6th-gen.webp
5647,desktop,Acer,,,70,2016,Acer Predator G6-710 Intel Core i7 6th Gen,predator-g6_710-intel-core-i7-6th-gen,acer-predator-g6_710-intel-core-i7-6th-gen.webp
5649,desktop,Acer,,,45,2018,Acer Predator PO3-600 Intel Core i5 8th Gen,predator-po3_600-intel-core-i5-8th-gen,acer-predator-po3_600-intel-core-i5-8th-gen.webp
5650,desktop,Acer,,,55,2019,Acer Predator PO3-600 Intel Core i7 8th Gen,predator-po3_600-intel-core-i7-8th-gen,acer-predator-po3_600-intel-core-i7-8th-gen.webp
5651,desktop,Acer,,,35,2018,Acer Predator PO5 AMD Ryzen 7,predator-po5-amd-ryzen-7,acer-predator-po5-amd-ryzen-7.webp
5652,desktop,Acer,,,70,2020,Acer Predator PO5 Intel Core i5 10th Gen,predator-po5-intel-core-i5-10th-gen,acer-predator-po5-intel-core-i5-10th-gen.webp
5653,desktop,Acer,,,90,2019,Acer Predator PO5 Intel Core i7 10th Gen,predator-po5-intel-core-i7-10th-gen,acer-predator-po5-intel-core-i7-10th-gen.webp
5654,desktop,Acer,,,85,2018,Acer Predator PO9 Intel Core i7 9th Gen,predator-po9-intel-core-i7-9th-gen,acer-predator-po9-intel-core-i7-9th-gen.webp
5655,desktop,Acer,,,120,2018,Acer Predator PO9 Intel Core i9 9th Gen,predator-po9-intel-core-i9-9th-gen,acer-predator-po9-intel-core-i9-9th-gen.webp
5656,desktop,Acer,,,75,2020,Acer Predator ORION 3000 Intel Core i5 10th Gen,predator-orion-3000-intel-core-i5-10th-gen,acer-predator-orion-3000-intel-core-i5-10th-gen.webp
5657,desktop,Acer,,,95,2020,Acer Predator ORION 3000 Intel Core i7 10th Gen,predator-orion-3000-intel-core-i7-10th-gen,acer-predator-orion-3000-intel-core-i7-10th-gen.webp
5658,desktop,Acer,,,65,2018,Acer Predator ORION 5000 AMD Ryzen 7,predator-orion-5000-amd-ryzen-7,acer-predator-orion-5000-amd-ryzen-7.webp
