id,title,url,images,type,brand,series,model,year,price,time_changed
3830,Dell Latitude 7490 Intel Core i7 8th Gen,/dell/latitude-7490-intel-core-i7-8th-gen,dell-latitude-7490-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,55,2024-03-25 07:15:25
3833,Dell Latitude 7390 Intel Core i7 8th Gen,/dell/latitude-7390-intel-core-i7-8th-gen,dell-latitude-7390-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,55,2023-05-30 03:19:25
3834,Dell Latitude 7390 Intel Core i5 8th Gen,/dell/latitude-7390-intel-core-i5-8th-gen,dell-latitude-7390-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,40,2024-03-25 06:33:14
3835,Dell Latitude 7380 Intel Core i7 6th Gen,/dell/latitude-7380-intel-core-i7-6th-gen,dell-latitude-7380-intel-core-i7-6th-gen.webp,laptop,Dell,,,2016,40,2024-03-25 06:28:49
3836,Dell Latitude 7380 Intel Core i7 7th Gen,/dell/latitude-7380-intel-core-i7-7th-gen,dell-latitude-7380-intel-core-i7-7th-gen.webp,laptop,Dell,,,2017,45,2023-05-30 03:05:20
3837,Dell Latitude 7290 Intel Core i5 8th Gen,/dell/latitude-7290-intel-core-i5-8th-gen,dell-latitude-7290-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,30,2024-03-25 04:28:01
3838,Dell Latitude 7290 Intel Core i7 8th Gen,/dell/latitude-7290-intel-core-i7-8th-gen,dell-latitude-7290-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,55,2024-03-25 04:29:07
3846,Dell Precision 7530 Intel Core i7 8th Gen.,/dell/precision-7530-intel-core-i7-8th-gen,dell-precision-7530-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,85,2024-05-15 07:35:34
3847,Dell Precision 7530 Intel Xeon,/dell/precision-7530-intel-xeon,dell-precision-7530-intel-xeon.webp,laptop,Dell,,,2018,150,2024-05-15 07:35:49
3867,Apple MacBook Pro A1990 2018 Intel Core i9 256GB SSD,/apple/macbook-pro-a1990-2018-intel-core-i9-256gb-ssd,apple-macbook-pro-a1990-2018-intel-core-i9-256gb-ssd.webp,laptop,Apple,,,2018,165,2024-05-27 00:52:58
3869,Samsung NP900X5 Series Core i7 6th Gen,/samsung/np900x5-series-core-i7-6th-gen,samsung-np900x5-series-core-i7-6th-gen.webp,laptop,Samsung,,,2016,35,2023-06-22 03:32:18
3870,Samsung NP900X5 Series Core i7 7th Gen,/samsung/np900x5-series-core-i7-7th-gen,samsung-np900x5-series-core-i7-7th-gen.webp,laptop,Samsung,,,2017,55,2023-06-22 03:32:22
3871,Dell G3 3579 Intel Core i5 8th Gen,/dell/g3-3579-intel-core-i5-8th-gen,dell-g3-3579-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,95,2024-06-17 13:47:07
3872,Dell G3 3579 Intel Core i7 8th Gen,/dell/g3-3579-intel-core-i7-8th-gen,dell-g3-3579-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,115,2024-06-17 13:47:12
3873,Dell G3 3779 Intel Core i5 8th Gen,/dell/g3-3779-intel-core-i5-8th-gen,dell-g3-3779-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,95,2024-06-17 13:47:28
3874,Dell G3 3779 Intel Core i7 8th Gen,/dell/g3-3779-intel-core-i7-8th-gen,dell-g3-3779-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,130,2024-06-17 13:47:34
3875,Dell G5 5587 Intel Core i5 8th Gen,/dell/g5-5587-intel-core-i5-8th-gen,dell-g5-5587-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,95,2024-06-17 13:47:53
3876,Dell G5 5587 Intel Core i7 8th Gen,/dell/g5-5587-intel-core-i7-8th-gen,dell-g5-5587-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,115,2024-06-17 13:47:59
3877,Dell G5 5590 Intel Core i5 9th Gen,/dell/g5-5590-intel-core-i5-9th-gen,dell-g5-5590-intel-core-i5-9th-gen.webp,laptop,Dell,,,2019,130,2024-06-17 13:48:05
3878,Dell G5 5590 Intel Core i7 9th Gen,/dell/g5-5590-intel-core-i7-9th-gen,dell-g5-5590-intel-core-i7-9th-gen.webp,laptop,Dell,,,2019,170,2024-06-17 13:48:11
3881,Dell G7 7590 Intel Core i5 9th Gen,/dell/g7-7590-intel-core-i5-9th-gen,dell-g7-7590-intel-core-i5-9th-gen.webp,laptop,Dell,,,2019,130,2024-06-17 13:49:25
3882,Dell G7 7790 Intel Core i5 8th Gen,/dell/g7-7790-intel-core-i5-8th-gen,dell-g7-7790-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,140,2024-06-17 13:45:43
3885,Dell Inspiron 13 5379 Intel Core i7 8th Gen,/dell/inspiron-13-5379-intel-core-i7-8th-gen,dell-inspiron-13-5379-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,60,2024-06-17 14:19:50
3886,Dell Inspiron 13 5379 Intel Core i5 8th Gen,/dell/inspiron-13-5379-intel-core-i5-8th-gen,dell-inspiron-13-5379-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,35,2024-05-08 06:46:52
3887,Dell Inspiron 13 7370 Intel Core i5 8th Gen,/dell/inspiron-13-7370-intel-core-i5-8th-gen,dell-inspiron-13-7370-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,30,2024-06-17 15:25:09
3888,Dell Inspiron 13 7370 Intel Core i7 8th Gen,/dell/inspiron-13-7370-intel-core-i7-8th-gen,dell-inspiron-13-7370-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,60,2024-06-17 15:25:53
3889,Dell Inspiron 13 7373 Intel Core i5 8th Gen,/dell/inspiron-13-7373-intel-core-i5-8th-gen,dell-inspiron-13-7373-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,30,2024-06-17 15:26:02
3890,Dell Inspiron 13 7373 Intel Core i7 8th Gen,/dell/inspiron-13-7373-intel-core-i7-8th-gen,dell-inspiron-13-7373-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,60,2024-06-17 15:26:09
3891,Dell Inspiron 13 7375 AMD Ryzen 5,/dell/inspiron-13-7375-amd-ryzen-5,dell-inspiron-13-7375-amd-ryzen-5.webp,laptop,Dell,,,2018,40,2024-06-17 15:27:09
3892,Dell Inspiron 13 7375 AMD Ryzen 7,/dell/inspiron-13-7375-amd-ryzen-7,dell-inspiron-13-7375-amd-ryzen-7.webp,laptop,Dell,,,2018,60,2024-06-17 15:27:31
3893,Dell Inspiron 13 7378 Intel Core i3 7th Gen,/dell/inspiron-13-7378-intel-core-i3-7th-gen,dell-inspiron-13-7378-intel-core-i3-7th-gen.webp,laptop,Dell,,,2017,30,2024-06-17 15:43:02
3894,Dell Inspiron 13 7386 Intel Core i5 8th Gen,/dell/inspiron-13-7386-intel-core-i5-8th-gen,dell-inspiron-13-7386-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,45,2024-06-17 15:46:03
3895,Dell Inspiron 13 7386 Intel Core i7 8th Gen,/dell/inspiron-13-7386-intel-core-i7-8th-gen,dell-inspiron-13-7386-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,65,2024-06-17 15:46:21
3897,Dell Inspiron 14 5481 Intel Core i3 8th Gen,/dell/inspiron-14-5481-intel-core-i3-8th-gen,dell-inspiron-14-5481-intel-core-i3-8th-gen.webp,laptop,Dell,,,2018,25,2024-06-17 22:31:39
3898,Dell Inspiron 14 5481 Intel Core i5 8th Gen,/dell/inspiron-14-5481-intel-core-i5-8th-gen,dell-inspiron-14-5481-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,35,2024-06-17 22:32:32
3899,Dell Inspiron 14 5482 Intel Core i5 8th Gen,/dell/inspiron-14-5482-intel-core-i5-8th-gen,dell-inspiron-14-5482-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,35,2024-06-17 22:32:52
3900,Dell Inspiron 14 5482 Intel Core i7 8th Gen,/dell/inspiron-14-5482-intel-core-i7-8th-gen,dell-inspiron-14-5482-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,65,2023-05-26 05:01:57
3901,Dell Inspiron 14 7460 Intel Core i7 7th Gen,/dell/inspiron-14-7460-intel-core-i7-7th-gen,dell-inspiron-14-7460-intel-core-i7-7th-gen.webp,laptop,Dell,,,2017,60,2023-05-26 05:30:53
3902,Dell Inspiron 14 7460 Intel Core i5 7th Gen,/dell/inspiron-14-7460-intel-core-i5-7th-gen,dell-inspiron-14-7460-intel-core-i5-7th-gen.webp,laptop,Dell,,,2017,35,2023-05-26 05:29:48
3903,Dell Inspiron 14 7472 Intel Core i5 8th Gen,/dell/inspiron-14-7472-intel-core-i5-8th-gen,dell-inspiron-14-7472-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,50,2024-06-17 23:04:13
3904,Dell Inspiron 14 7472 Intel Core i7 8th Gen,/dell/inspiron-14-7472-intel-core-i7-8th-gen,dell-inspiron-14-7472-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,65,2024-06-17 23:04:57
3908,Dell Inspiron 15 3567 Intel Core i3 7th Gen,/dell/inspiron-15-3567-intel-core-i3-7th-gen,dell-inspiron-15-3567-intel-core-i3-7th-gen.webp,laptop,Dell,,,2017,25,2024-06-17 23:30:35
3909,Dell Inspiron 15 3567 Intel Core i7 7th Gen,/dell/inspiron-15-3567-intel-core-i7-7th-gen,dell-inspiron-15-3567-intel-core-i7-7th-gen.webp,laptop,Dell,,,2017,45,2024-06-17 23:31:24
3912,Dell Inspiron 15 5570 Intel Core i3 8th Gen,/dell/inspiron-15-5570-intel-core-i3-8th-gen,dell-inspiron-15-5570-intel-core-i3-8th-gen.webp,laptop,Dell,,,2018,25,2024-07-07 17:26:05
3913,Dell Inspiron 15 5570 Intel Core i5 8th Gen,/dell/inspiron-15-5570-intel-core-i5-8th-gen,dell-inspiron-15-5570-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,45,2024-07-07 17:26:12
3914,Dell Inspiron 15 5570 Intel Core i7 8th Gen,/dell/inspiron-15-5570-intel-core-i7-8th-gen,dell-inspiron-15-5570-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,70,2023-05-26 07:03:50
3915,Dell Inspiron 15 5575 AMD Ryzen 5,/dell/inspiron-15-5575-amd-ryzen-5,dell-inspiron-15-5575-amd-ryzen-5.webp,laptop,Dell,,,2018,50,2024-07-07 17:27:55
3916,Dell Inspiron 15 5575 AMD Ryzen 7,/dell/inspiron-15-5575-amd-ryzen-7,dell-inspiron-15-5575-amd-ryzen-7.webp,laptop,Dell,,,2018,80,2024-07-07 17:28:01
3918,Dell Inspiron 15 5577 Intel Core i5 7th Gen,/dell/inspiron-15-5577-intel-core-i5-7th-gen,dell-inspiron-15-5577-intel-core-i5-7th-gen.webp,laptop,Dell,,,2017,70,2024-07-07 17:29:27
3919,Dell Inspiron 15 5577 Intel Core i7 7th Gen,/dell/inspiron-15-5577-intel-core-i7-7th-gen,dell-inspiron-15-5577-intel-core-i7-7th-gen.webp,laptop,Dell,,,2017,100,2024-07-07 17:29:58
3920,Dell Inspiron 15 5578 Intel Core i3 7th Gen,/dell/inspiron-15-5578-intel-core-i3-7th-gen,dell-inspiron-15-5578-intel-core-i3-7th-gen.webp,laptop,Dell,,,2017,35,2024-07-07 17:30:32
3921,Dell Inspiron 15 5578 Intel Core i5 7th Gen,/dell/inspiron-15-5578-intel-core-i5-7th-gen,dell-inspiron-15-5578-intel-core-i5-7th-gen.webp,laptop,Dell,,,2010,50,2024-07-07 17:31:02
3922,Dell Inspiron 15 5578 Intel Core i7 7th Gen,/dell/inspiron-15-5578-intel-core-i7-7th-gen,dell-inspiron-15-5578-intel-core-i7-7th-gen.webp,laptop,Dell,,,2017,65,2023-05-26 07:18:02
3923,Dell Inspiron 15 5579 Intel Core i5 8th Gen,/dell/inspiron-15-5579-intel-core-i5-8th-gen,dell-inspiron-15-5579-intel-core-i5-8th-gen.webp,laptop,Dell,,,2018,50,2024-07-07 17:54:27
3924,Dell Inspiron 15 5579 Intel Core i7 8th Gen,/dell/inspiron-15-5579-intel-core-i7-8th-gen,dell-inspiron-15-5579-intel-core-i7-8th-gen.webp,laptop,Dell,,,2018,70,2024-07-07 17:54:21
3925,Dell Inspiron 15 7568 Intel Core i3 6th Gen,/dell/inspiron-15-7568-intel-core-i3-6th-gen,dell-inspiron-15-7568-intel-core-i3-6th-gen.webp,laptop,Dell,,,2016,15,2024-07-07 19:02:57
3926,Dell Inspiron 15 7560 Intel Core i5 7th Gen,/dell/inspiron-15-7560-intel-core-i5-7th-gen,dell-inspiron-15-7560-intel-core-i5-7th-gen.webp,laptop,Dell,,,2017,35,2024-07-07 19:28:09
