id,title,url,images,type,brand,display,year,price,time_changed
12105,Apple iPad Pro 12.9 2nd Gen 512GB Wi-Fi + Cellular,ipad-pro-12-9-2nd-gen-512gb-wi_fi-cellular,apple-ipad-pro-12-9-2nd-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2017,130,2023-02-20 04:29:08
12106,Apple iPad Pro 12.9 2nd Gen 64GB Wi-Fi,ipad-pro-12-9-2nd-gen-64gb-wi_fi,apple-ipad-pro-12-9-2nd-gen-64gb-wi_fi.webp,tablet,Apple,1,2017,70,2023-02-20 04:29:33
12107,Apple iPad Pro 12.9 2nd Gen 128GB Wi-Fi,ipad-pro-12-9-2nd-gen-128gb-wi_fi,apple-ipad-pro-12-9-2nd-gen-128gb-wi_fi.webp,tablet,Apple,1,2017,90,2023-02-20 04:28:30
12108,Apple iPad Pro 12.9 2nd Gen 256GB Wi-Fi,ipad-pro-12-9-2nd-gen-256gb-wi_fi,apple-ipad-pro-12-9-2nd-gen-256gb-wi_fi.webp,tablet,Apple,1,2017,100,2023-02-20 04:28:24
12109,Apple iPad Pro 12.9 2nd Gen 512GB Wi-Fi,ipad-pro-12-9-2nd-gen-512gb-wi_fi,apple-ipad-pro-12-9-2nd-gen-512gb-wi_fi.webp,tablet,Apple,1,2017,120,2023-02-20 04:29:05
12110,Apple iPad Pro 11 1st Gen 64GB Wi-Fi + Cellular,ipad-pro-11-1st-gen-64gb-wi_fi-cellular,apple-ipad-pro-11-1st-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2018,105,2023-02-20 03:11:55
12111,Apple iPad Pro 11 1st Gen 256GB Wi-Fi + Cellular,ipad-pro-11-1st-gen-256gb-wi_fi-cellular,apple-ipad-pro-11-1st-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2018,130,2023-02-20 03:16:17
12112,Apple iPad Pro 11 1st Gen 512GB Wi-Fi + Cellular,ipad-pro-11-1st-gen-512gb-wi_fi-cellular,apple-ipad-pro-11-1st-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2018,150,2023-02-20 03:16:25
12113,Apple iPad Pro 11 1st Gen 1TB Wi-Fi + Cellular,ipad-pro-11-1st-gen-1tb-wi_fi-cellular,apple-ipad-pro-11-1st-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2018,175,2023-02-20 03:16:58
12114,Apple iPad Pro 11 1st Gen 64GB Wi-Fi,ipad-pro-11-1st-gen-64gb-wi_fi,apple-ipad-pro-11-1st-gen-64gb-wi_fi.webp,tablet,Apple,1,2018,90,2023-02-20 03:11:49
12115,Apple iPad Pro 11 1st Gen 256GB Wi-Fi,ipad-pro-11-1st-gen-256gb-wi_fi,apple-ipad-pro-11-1st-gen-256gb-wi_fi.webp,tablet,Apple,1,2018,110,2023-02-20 03:16:14
12116,Apple iPad Pro 11 1st Gen 512GB Wi-Fi,ipad-pro-11-1st-gen-512gb-wi_fi,apple-ipad-pro-11-1st-gen-512gb-wi_fi.webp,tablet,Apple,1,2018,130,2023-02-20 03:16:22
12117,Apple iPad Pro 11 1st Gen 1TB Wi-Fi,ipad-pro-11-1st-gen-1tb-wi_fi,apple-ipad-pro-11-1st-gen-1tb-wi_fi.webp,tablet,Apple,1,2018,150,2023-02-20 03:16:53
12118,Apple iPad Pro 12.9 3rd Gen 64GB Wi-Fi + Cellular,ipad-pro-12-9-3rd-gen-64gb-wi_fi-cellular,apple-ipad-pro-12-9-3rd-gen-64gb-wi_fi-cellular.webp,tablet,Apple,1,2018,105,2023-02-20 04:43:01
12119,Apple iPad Pro 12.9 3rd Gen 256GB Wi-Fi + Cellular,ipad-pro-12-9-3rd-gen-256gb-wi_fi-cellular,apple-ipad-pro-12-9-3rd-gen-256gb-wi_fi-cellular.webp,tablet,Apple,1,2018,140,2023-02-20 04:39:45
12120,Apple iPad Pro 12.9 3rd Gen 512GB Wi-Fi + Cellular,ipad-pro-12-9-3rd-gen-512gb-wi_fi-cellular,apple-ipad-pro-12-9-3rd-gen-512gb-wi_fi-cellular.webp,tablet,Apple,1,2018,160,2023-02-20 04:42:38
12121,Apple iPad Pro 12.9 3rd Gen 1TB Wi-Fi + Cellular,ipad-pro-12-9-3rd-gen-1tb-wi_fi-cellular,apple-ipad-pro-12-9-3rd-gen-1tb-wi_fi-cellular.webp,tablet,Apple,1,2018,200,2023-02-20 04:34:59
12122,Apple iPad Pro 12.9 3rd Gen 64GB Wi-Fi,ipad-pro-12-9-3rd-gen-64gb-wi_fi,apple-ipad-pro-12-9-3rd-gen-64gb-wi_fi.webp,tablet,Apple,1,2018,90,2023-02-20 04:42:46
12123,Apple iPad Pro 12.9 3rd Gen 256GB Wi-Fi,ipad-pro-12-9-3rd-gen-256gb-wi_fi,apple-ipad-pro-12-9-3rd-gen-256gb-wi_fi.webp,tablet,Apple,1,2018,120,2023-02-20 04:39:48
12124,Apple iPad Pro 12.9 3rd Gen 512GB Wi-Fi,ipad-pro-12-9-3rd-gen-512gb-wi_fi,apple-ipad-pro-12-9-3rd-gen-512gb-wi_fi.webp,tablet,Apple,1,2018,140,2023-02-20 04:42:34
