id,title,url,images,type,brand,display,year,price,time_changed
5054,Dell OptiPlex 7070 Intel Core i5 9th Gen,optiplex-7070-intel-core-i5-9th-gen,dell-optiplex-7070-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,50,2023-01-16 06:17:11
5055,Dell OptiPlex 7070 Intel Core i7 8th Gen,optiplex-7070-intel-core-i7-8th-gen,dell-optiplex-7070-intel-core-i7-8th-gen.webp,desktop,Dell,1,2018,55,2023-06-27 05:38:45
5056,Dell OptiPlex 7070 Intel Core i7 9th Gen,optiplex-7070-intel-core-i7-9th-gen,dell-optiplex-7070-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,55,2023-06-27 05:39:08
5057,Dell OptiPlex 7070 Intel Core i9 9th Gen,optiplex-7070-intel-core-i9-9th-gen,dell-optiplex-7070-intel-core-i9-9th-gen.webp,desktop,Dell,1,2019,110,2023-06-27 05:39:46
5063,Dell Precision 3431 Intel Core i3 9th Gen,precision-3431-intel-core-i3-9th-gen,dell-precision-3431-intel-core-i3-9th-gen.webp,desktop,Dell,1,2019,25,2023-01-17 07:53:43
5064,Dell Precision 3431 Intel Core i5 9th Gen,precision-3431-intel-core-i5-9th-gen,dell-precision-3431-intel-core-i5-9th-gen.webp,desktop,Dell,1,2019,45,2023-06-27 05:53:04
5065,Dell Precision 3431 Intel Core i7 9th Gen,precision-3431-intel-core-i7-9th-gen,dell-precision-3431-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,55,2023-06-27 05:53:00
5066,Dell Precision 3431 Intel Core i9 9th Gen,precision-3431-intel-core-i9-9th-gen,dell-precision-3431-intel-core-i9-9th-gen.webp,desktop,Dell,1,2019,85,2023-06-27 05:53:58
5069,Dell Precision 3620 Intel Core i7 6th Gen,precision-3620-intel-core-i7-6th-gen,dell-precision-3620-intel-core-i7-6th-gen.webp,desktop,Dell,1,2016,45,2023-01-17 08:00:35
5070,Dell Precision 3620 Intel Xeon,precision-3620-intel-xeon,dell-precision-3620-intel-xeon.webp,desktop,Dell,1,2016,30,2023-06-27 05:56:58
5075,Dell Precision T3420 Intel Core i5 6th Gen,precision-t3420-intel-core-i5-6th-gen,dell-precision-t3420-intel-core-i5-6th-gen.webp,desktop,Dell,1,2016,20,2023-06-28 01:37:44
5076,Dell Precision T3420 Intel Core i7 6th Gen,precision-t3420-intel-core-i7-6th-gen,dell-precision-t3420-intel-core-i7-6th-gen.webp,desktop,Dell,1,2016,25,2023-01-17 08:17:18
5077,Dell Precision T3420 Intel Xeon,precision-t3420-intel-xeon,dell-precision-t3420-intel-xeon.webp,desktop,Dell,1,2017,25,2023-01-17 08:17:39
5078,Dell Precision T3431 Intel Core i7 9th Gen,precision-t3431-intel-core-i7-9th-gen,dell-precision-t3431-intel-core-i7-9th-gen.webp,desktop,Dell,1,2019,40,2023-06-28 01:42:30
5079,Dell Precision T3600 Intel Xeon,precision-t3600-intel-xeon,dell-precision-t3600-intel-xeon.webp,desktop,Dell,1,2012,20,2023-01-17 08:18:57
5080,Dell Precision T3610 Intel Xeon,precision-t3610-intel-xeon,dell-precision-t3610-intel-xeon.webp,desktop,Dell,1,2013,20,2023-01-17 08:19:01
5081,Dell Precision T3620 Intel Core i7 6th Gen,precision-t3620-intel-core-i7-6th-gen,dell-precision-t3620-intel-core-i7-6th-gen.webp,desktop,Dell,1,2016,30,2023-06-28 01:47:51
5082,Dell Precision T3620 Intel Xeon,precision-t3620-intel-xeon,dell-precision-t3620-intel-xeon.webp,desktop,Dell,1,2016,20,2023-06-28 01:54:58
5083,Dell Precision 3630 Intel Core i7 8th Gen,precision-3630-intel-core-i7-8th-gen,dell-precision-3630-intel-core-i7-8th-gen.webp,desktop,Dell,1,2018,65,2023-06-09 06:47:07
5084,Dell Precision 3630 Intel Xeon,precision-3630-intel-xeon,dell-precision-3630-intel-xeon.webp,desktop,Dell,1,2018,85,2023-06-27 06:03:46
5085,Dell Precision T5600 Intel Xeon,precision-t5600-intel-xeon,dell-desktop.webp,desktop,Dell,1,2012,35,2023-06-28 01:59:39
